year,city,zone,annual_precip_mm
1950,Abuja,Guinea Savanna,1230.3
1950,Calabar,Coastal,2835.7
1950,Ilorin,Guinea Savanna,663.5
1950,Jos,Guinea Savanna,1413.2
1950,Kano,Sahel,726.1
1950,Lagos,Coastal,2466.5
1950,Maiduguri,Sahel,824.5
1950,Port Harcourt,Coastal,2096.6
1950,Sokoto,Sahel,815.1
1951,Abuja,Guinea Savanna,1608.1
1951,Calabar,Coastal,3184.8
1951,Ilorin,Guinea Savanna,932.7
1951,Jos,Guinea Savanna,2047.2
1951,Kano,Sahel,847.9
1951,Lagos,Coastal,2217.4
1951,Maiduguri,Sahel,639.0
1951,Port Harcourt,Coastal,2628.7
1951,Sokoto,Sahel,566.9
1952,Abuja,Guinea Savanna,1243.7
1952,Calabar,Coastal,3193.2
1952,Ilorin,Guinea Savanna,695.1
1952,Jos,Guinea Savanna,1648.0
1952,Kano,Sahel,785.9
1952,Lagos,Coastal,2298.4
1952,Maiduguri,Sahel,760.9
1952,Port Harcourt,Coastal,2616.2
1952,Sokoto,Sahel,644.6
1953,Abuja,Guinea Savanna,1299.0
1953,Calabar,Coastal,2982.6
1953,Ilorin,Guinea Savanna,614.3
1953,Jos,Guinea Savanna,1550.3999999999999
1953,Kano,Sahel,868.4
1953,Lagos,Coastal,1769.3
1953,Maiduguri,Sahel,803.4
1953,Port Harcourt,Coastal,2339.2
1953,Sokoto,Sahel,615.2
1954,Abuja,Guinea Savanna,1088.6
1954,Calabar,Coastal,2775.1
1954,Ilorin,Guinea Savanna,675.9
1954,Jos,Guinea Savanna,1520.0
1954,Kano,Sahel,681.0
1954,Lagos,Coastal,1580.2
1954,Maiduguri,Sahel,956.9
1954,Port Harcourt,Coastal,2378.6
1954,Sokoto,Sahel,658.6
1955,Abuja,Guinea Savanna,1528.9
1955,Calabar,Coastal,3082.4
1955,Ilorin,Guinea Savanna,906.0
1955,Jos,Guinea Savanna,1732.1
1955,Kano,Sahel,663.2
1955,Lagos,Coastal,2044.8
1955,Maiduguri,Sahel,501.4
1955,Port Harcourt,Coastal,2598.8
1955,Sokoto,Sahel,371.7
1956,Abuja,Guinea Savanna,1252.8
1956,Calabar,Coastal,3080.7
1956,Ilorin,Guinea Savanna,684.4
1956,Jos,Guinea Savanna,1411.2
1956,Kano,Sahel,951.7
1956,Lagos,Coastal,1918.4
1956,Maiduguri,Sahel,875.2
1956,Port Harcourt,Coastal,2624.2
1956,Sokoto,Sahel,870.8000000000001
1957,Abuja,Guinea Savanna,1605.5
1957,Calabar,Coastal,3028.3
1957,Ilorin,Guinea Savanna,934.8
1957,Jos,Guinea Savanna,1956.8
1957,Kano,Sahel,857.3
1957,Lagos,Coastal,2616.6
1957,Maiduguri,Sahel,696.7
1957,Port Harcourt,Coastal,2544.9
1957,Sokoto,Sahel,654.9
1958,Abuja,Guinea Savanna,1029.5
1958,Calabar,Coastal,2782.6
1958,Ilorin,Guinea Savanna,467.1
1958,Jos,Guinea Savanna,1386.9
1958,Kano,Sahel,722.5
1958,Lagos,Coastal,1515.8
1958,Maiduguri,Sahel,552.0
1958,Port Harcourt,Coastal,2184.0
1958,Sokoto,Sahel,619.0
1959,Abuja,Guinea Savanna,1178.9
1959,Calabar,Coastal,2800.4
1959,Ilorin,Guinea Savanna,786.9
1959,Jos,Guinea Savanna,1157.1
1959,Kano,Sahel,711.5
1959,Lagos,Coastal,1445.4
1959,Maiduguri,Sahel,399.8
