year,zone,annual_precip_mm,city_std,city_min,city_max
1950,Coastal,2466.2666666666664,369.5500552473687,2096.6,2835.7
1950,Guinea Savanna,1102.3333333333333,390.8888887309709,663.5,1413.2
1950,Sahel,788.5666666666666,54.30150396935004,726.1,824.5
1951,Coastal,2676.9666666666667,485.5027737648195,2217.4,3184.8
1951,Guinea Savanna,1529.3333333333333,561.4095682595134,932.7,2047.2
1951,Sahel,684.6,145.94440722412082,566.9,847.9
1952,Coastal,2702.6,453.6138004955317,2298.4,3193.2
1952,Guinea Savanna,1195.6,478.2675088274343,695.1,1648.0
1952,Sahel,730.4666666666667,75.40599003615914,644.6,785.9
1953,Coastal,2363.7,607.0209304463891,1769.3,2982.6
1953,Guinea Savanna,1154.5666666666666,484.4755342980008,614.3,1550.4
1953,Sahel,762.3333333333334,131.50062103782372,615.2,868.4
1954,Coastal,2244.633333333333,608.6105514475848,1580.2,2775.1
1954,Guinea Savanna,1094.8333333333333,422.08452155147,675.9,1520.0
1954,Sahel,765.5,166.13521601394447,658.6,956.9
1955,Coastal,2575.333333333333,519.1978941919289,2044.8,3082.4
1955,Guinea Savanna,1389.0,430.4524480125534,906.0,1732.1
1955,Sahel,512.1,146.04427410891532,371.7,663.2
1956,Coastal,2541.1,585.589045321034,1918.4,3080.7
1956,Guinea Savanna,1116.1333333333334,382.18829565193823,684.4,1411.2
1956,Sahel,899.2333333333335,45.49069501923808,870.8000000000001,951.7
1957,Coastal,2729.9333333333334,260.8682106607344,2544.9,3028.3
1957,Guinea Savanna,1499.0333333333335,519.2517340686821,934.8,1956.8
1957,Sahel,736.3000000000001,106.8529831123118,654.9,857.3
1958,Coastal,2160.8,633.7185810752277,1515.8,2782.6
1958,Guinea Savanna,961.1666666666666,463.69180856829183,467.1,1386.9
1958,Sahel,631.1666666666666,85.89868062626651,552.0,722.5
1959,Coastal,2125.0333333333333,677.5100761858331,1445.4,2800.4
1959,Guinea Savanna,1040.9666666666667,220.29801028001444,786.9,1178.9
1959,Sahel,525.5666666666667,164.3296787964162,399.8,711.5
1960,Coastal,2506.6666666666665,718.6210429241085,1740.3,3165.4
1960,Guinea Savanna,1267.1333333333334,390.896678590818,904.2,1681.0
1960,Sahel,431.5,123.50157893727511,341.5,572.3
1961,Coastal,2138.9666666666667,416.1223417858422,1700.5,2528.4
1961,Guinea Savanna,1035.6666666666667,419.20172152954393,577.5,1400.0
1961,Sahel,578.4666666666667,114.38777615345678,488.5,707.2
1962,Coastal,2441.4,550.1576955746416,1886.7,2986.9
1962,Guinea Savanna,1360.8333333333333,550.9686046712039,745.8,1809.3
1962,Sahel,578.4666666666667,145.49331027003728,410.5,665.4
1963,Coastal,2154.5,121.9644620371032,2068.6,2294.1
1963,Guinea Savanna,1337.6,619.3731589276372,730.1,1968.2
1963,Sahel,520.5333333333333,189.18404619135652,384.1,736.5
1964,Coastal,1913.7666666666669,473.7350771616277,1386.4,2303.3
1964,Guinea Savanna,854.9,448.6992645414075,427.2,1322.0
1964,Sahel,483.9333333333333,97.28064213055612,403.1,591.9
1965,Coastal,2435.5,465.2862774679693,1899.3,2732.9
1965,Guinea Savanna,1100.5,456.6046320395797,659.8,1571.5
1965,Sahel,402.9,138.5602035217905,257.2,533.0
1966,Coastal,2254.3,465.1985705051124,1747.2,2661.3
1966,Guinea Savanna,1205.0666666666666,593.8174158218444,644.2,1827.1
1966,Sahel,435.8666666666666,124.70911487671351,309.0,558.3
1967,Coastal,2665.9666666666667,721.890825079065,1918.4,3359.1
1967,Guinea Savanna,1253.5,475.69930628496815,749.6,1694.8
1967,Sahel,718.1333333333333,149.5730367858236,545.8,814.2
1968,Coastal,2932.9,327.5276476879472,2648.3,3290.9
1968,Guinea Savanna,1520.3666666666668,480.31557681729777,1042.3,2002.9
