year,month,zone,monthly_precip_mm
1950,1,Coastal,106.39999999999999
1950,1,Guinea Savanna,4.166666666666666
1950,1,Sahel,0.13333333333333333
1950,2,Coastal,56.9
1950,2,Guinea Savanna,1.0333333333333334
1950,2,Sahel,0.0
1950,3,Coastal,177.5666666666667
1950,3,Guinea Savanna,7.7
1950,3,Sahel,0.0
1950,4,Coastal,258.6666666666667
1950,4,Guinea Savanna,110.39999999999999
1950,4,Sahel,6.3999999999999995
1950,5,Coastal,292.06666666666666
1950,5,Guinea Savanna,135.66666666666666
1950,5,Sahel,12.966666666666667
1950,6,Coastal,373.6666666666667
1950,6,Guinea Savanna,178.66666666666666
1950,6,Sahel,21.166666666666668
1950,7,Coastal,441.0
1950,7,Guinea Savanna,172.6
1950,7,Sahel,209.66666666666666
1950,8,Coastal,54.86666666666667
1950,8,Guinea Savanna,158.76666666666668
1950,8,Sahel,394.43333333333334
1950,9,Coastal,137.36666666666667
1950,9,Guinea Savanna,200.23333333333335
1950,9,Sahel,133.03333333333333
1950,10,Coastal,233.66666666666666
1950,10,Guinea Savanna,120.46666666666665
1950,10,Sahel,10.4
1950,11,Coastal,233.1
1950,11,Guinea Savanna,12.0
1950,11,Sahel,0.3666666666666667
1950,12,Coastal,101.0
1950,12,Guinea Savanna,0.6333333333333334
1950,12,Sahel,0.0
1951,1,Coastal,88.86666666666667
1951,1,Guinea Savanna,1.9333333333333336
1951,1,Sahel,0.0
1951,2,Coastal,118.86666666666667
1951,2,Guinea Savanna,0.43333333333333335
1951,2,Sahel,0.0
1951,3,Coastal,238.26666666666665
1951,3,Guinea Savanna,36.800000000000004
1951,3,Sahel,2.2666666666666666
1951,4,Coastal,234.70000000000002
1951,4,Guinea Savanna,51.53333333333333
1951,4,Sahel,3.4333333333333336
1951,5,Coastal,298.59999999999997
1951,5,Guinea Savanna,200.5666666666667
1951,5,Sahel,60.300000000000004
1951,6,Coastal,386.6333333333334
1951,6,Guinea Savanna,191.9333333333333
1951,6,Sahel,56.199999999999996
1951,7,Coastal,327.43333333333334
1951,7,Guinea Savanna,225.4333333333333
1951,7,Sahel,93.83333333333333
1951,8,Coastal,195.86666666666665
1951,8,Guinea Savanna,240.6
1951,8,Sahel,156.43333333333334
1951,9,Coastal,254.76666666666665
1951,9,Guinea Savanna,266.46666666666664
1951,9,Sahel,171.86666666666667
1951,10,Coastal,289.03333333333336
1951,10,Guinea Savanna,264.8666666666667
1951,10,Sahel,128.66666666666666
1951,11,Coastal,227.5
1951,11,Guinea Savanna,48.76666666666667
1951,11,Sahel,11.6
1951,12,Coastal,16.433333333333334
1951,12,Guinea Savanna,0.0
1951,12,Sahel,0.0
1952,1,Coastal,79.56666666666666
1952,1,Guinea Savanna,0.39999999999999997
1952,1,Sahel,0.0
1952,2,Coastal,81.7
1952,2,Guinea Savanna,0.30000000000000004
1952,2,Sahel,0.0
1952,3,Coastal,190.86666666666667
1952,3,Guinea Savanna,8.5
1952,3,Sahel,0.0
1952,4,Coastal,311.3
1952,4,Guinea Savanna,53.1
1952,4,Sahel,1.7666666666666666
1952,5,Coastal,271.7
1952,5,Guinea Savanna,114.8
1952,5,Sahel,14.466666666666667
1952,6,Coastal,408.8666666666666
1952,6,Guinea Savanna,202.0
1952,6,Sahel,54.26666666666667
1952,7,Coastal,378.59999999999997
1952,7,Guinea Savanna,261.96666666666664
1952,7,Sahel,144.0
1952,8,Coastal,34.333333333333336
1952,8,Guinea Savanna,95.89999999999999
1952,8,Sahel,309.3666666666667
1952,9,Coastal,297.96666666666664
1952,9,Guinea Savanna,291.6333333333333
1952,9,Sahel,186.79999999999998
1952,10,Coastal,286.40000000000003
1952,10,Guinea Savanna,143.6
1952,10,Sahel,19.6
1952,11,Coastal,274.09999999999997
1952,11,Guinea Savanna,11.299999999999999
1952,11,Sahel,0.20000000000000004
1952,12,Coastal,87.2
1952,12,Guinea Savanna,12.1
1952,12,Sahel,0.0
1953,1,Coastal,46.96666666666667
1953,1,Guinea Savanna,0.16666666666666666
1953,1,Sahel,0.0
1953,2,Coastal,169.79999999999998
1953,2,Guinea Savanna,16.0
1953,2,Sahel,0.0
1953,3,Coastal,197.4
1953,3,Guinea Savanna,19.366666666666667
1953,3,Sahel,0.2333333333333333
1953,4,Coastal,156.66666666666666
1953,4,Guinea Savanna,4.133333333333334
1953,4,Sahel,0.0
1953,5,Coastal,283.2
1953,5,Guinea Savanna,226.6
1953,5,Sahel,64.83333333333333
1953,6,Coastal,386.8666666666666
1953,6,Guinea Savanna,204.16666666666666
1953,6,Sahel,110.39999999999999
1953,7,Coastal,269.40000000000003
1953,7,Guinea Savanna,215.46666666666667
1953,7,Sahel,179.5666666666667
1953,8,Coastal,68.26666666666667
1953,8,Guinea Savanna,169.03333333333333
1953,8,Sahel,299.76666666666665
1953,9,Coastal,243.76666666666665
1953,9,Guinea Savanna,211.53333333333333
1953,9,Sahel,102.66666666666667
1953,10,Coastal,324.1333333333333
1953,10,Guinea Savanna,84.0
1953,10,Sahel,4.866666666666666
1953,11,Coastal,167.56666666666666
1953,11,Guinea Savanna,2.9333333333333336
1953,11,Sahel,0.0
1953,12,Coastal,49.666666666666664
1953,12,Guinea Savanna,1.1666666666666667
1953,12,Sahel,0.0
1954,1,Coastal,74.83333333333333
1954,1,Guinea Savanna,0.13333333333333333
1954,1,Sahel,0.0
1954,2,Coastal,160.16666666666666
1954,2,Guinea Savanna,17.7
1954,2,Sahel,0.03333333333333333
1954,3,Coastal,245.20000000000002
1954,3,Guinea Savanna,30.633333333333336
1954,3,Sahel,0.0
1954,4,Coastal,238.4333333333333
1954,4,Guinea Savanna,67.03333333333333
1954,4,Sahel,1.4666666666666668
1954,5,Coastal,248.70000000000002
1954,5,Guinea Savanna,88.46666666666665
1954,5,Sahel,9.166666666666666
1954,6,Coastal,334.1333333333333
1954,6,Guinea Savanna,155.0
1954,6,Sahel,35.5
1954,7,Coastal,105.16666666666667
1954,7,Guinea Savanna,121.93333333333332
1954,7,Sahel,223.33333333333334
1954,8,Coastal,94.43333333333334
1954,8,Guinea Savanna,195.03333333333333
1954,8,Sahel,393.23333333333335
1954,9,Coastal,206.26666666666665
1954,9,Guinea Savanna,223.1
1954,9,Sahel,59.199999999999996
1954,10,Coastal,245.63333333333333
1954,10,Guinea Savanna,157.9
1954,10,Sahel,34.5
1954,11,Coastal,227.46666666666667
1954,11,Guinea Savanna,37.6
1954,11,Sahel,9.066666666666665
1954,12,Coastal,64.2
1954,12,Guinea Savanna,0.30000000000000004
1954,12,Sahel,0.0
1955,1,Coastal,47.36666666666667
1955,1,Guinea Savanna,2.233333333333333
1955,1,Sahel,0.0
1955,2,Coastal,66.26666666666667
1955,2,Guinea Savanna,0.7333333333333334
1955,2,Sahel,0.0
1955,3,Coastal,220.4
1955,3,Guinea Savanna,12.266666666666667
1955,3,Sahel,0.0
1955,4,Coastal,221.9
1955,4,Guinea Savanna,62.6
1955,4,Sahel,0.7666666666666666
1955,5,Coastal,269.8
1955,5,Guinea Savanna,128.86666666666667
1955,5,Sahel,9.366666666666667
1955,6,Coastal,485.1333333333334
1955,6,Guinea Savanna,237.33333333333334
1955,6,Sahel,80.96666666666665
1955,7,Coastal,420.5
1955,7,Guinea Savanna,327.2
1955,7,Sahel,133.1
1955,8,Coastal,200.6
1955,8,Guinea Savanna,249.9666666666667
1955,8,Sahel,163.6
1955,9,Coastal,211.46666666666667
1955,9,Guinea Savanna,256.8666666666666
1955,9,Sahel,102.73333333333333
1955,10,Coastal,265.3
1955,10,Guinea Savanna,110.86666666666667
1955,10,Sahel,21.566666666666666
1955,11,Coastal,120.76666666666667
1955,11,Guinea Savanna,0.03333333333333333
1955,11,Sahel,0.0
1955,12,Coastal,45.833333333333336
1955,12,Guinea Savanna,0.03333333333333333
1955,12,Sahel,0.0
1956,1,Coastal,38.333333333333336
1956,1,Guinea Savanna,0.0
1956,1,Sahel,0.0
1956,2,Coastal,126.13333333333333
1956,2,Guinea Savanna,3.2999999999999994
1956,2,Sahel,0.0
1956,3,Coastal,292.8333333333333
1956,3,Guinea Savanna,41.43333333333333
1956,3,Sahel,0.03333333333333333
1956,4,Coastal,275.09999999999997
1956,4,Guinea Savanna,25.066666666666666
1956,4,Sahel,0.5333333333333333
1956,5,Coastal,257.3333333333333
1956,5,Guinea Savanna,50.5
1956,5,Sahel,0.6
1956,6,Coastal,349.40000000000003
1956,6,Guinea Savanna,175.20000000000002
1956,6,Sahel,25.899999999999995
1956,7,Coastal,184.20000000000002
1956,7,Guinea Savanna,188.4666666666667
1956,7,Sahel,276.8
1956,8,Coastal,68.13333333333334
1956,8,Guinea Savanna,200.4333333333333
1956,8,Sahel,417.43333333333334
1956,9,Coastal,261.59999999999997
1956,9,Guinea Savanna,269.46666666666664
1956,9,Sahel,167.70000000000002
1956,10,Coastal,300.1666666666667
1956,10,Guinea Savanna,136.76666666666668
1956,10,Sahel,10.233333333333333
1956,11,Coastal,277.3
1956,11,Guinea Savanna,13.066666666666668
1956,11,Sahel,0.0
1956,12,Coastal,110.56666666666666
1956,12,Guinea Savanna,12.433333333333332
1956,12,Sahel,0.0
1957,1,Coastal,77.0
1957,1,Guinea Savanna,0.16666666666666666
1957,1,Sahel,0.0
1957,2,Coastal,55.36666666666667
1957,2,Guinea Savanna,10.4
1957,2,Sahel,0.0
1957,3,Coastal,170.66666666666666
1957,3,Guinea Savanna,19.433333333333334
1957,3,Sahel,0.5333333333333333
1957,4,Coastal,259.23333333333335
1957,4,Guinea Savanna,112.66666666666667
1957,4,Sahel,8.466666666666667
1957,5,Coastal,325.1666666666667
1957,5,Guinea Savanna,231.29999999999998
1957,5,Sahel,107.46666666666665
1957,6,Coastal,391.73333333333335
1957,6,Guinea Savanna,221.73333333333335
1957,6,Sahel,120.53333333333335
1957,7,Coastal,382.90000000000003
1957,7,Guinea Savanna,199.23333333333335
1957,7,Sahel,153.46666666666667
1957,8,Coastal,288.1333333333333
1957,8,Guinea Savanna,250.66666666666666
1957,8,Sahel,206.29999999999998
1957,9,Coastal,178.66666666666666
1957,9,Guinea Savanna,231.33333333333334
1957,9,Sahel,90.76666666666667
1957,10,Coastal,295.6666666666667
1957,10,Guinea Savanna,183.5
1957,10,Sahel,48.666666666666664
1957,11,Coastal,241.93333333333337
1957,11,Guinea Savanna,36.233333333333334
1957,11,Sahel,0.09999999999999999
1957,12,Coastal,63.46666666666667
1957,12,Guinea Savanna,2.3666666666666667
1957,12,Sahel,0.0
1958,1,Coastal,68.3
1958,1,Guinea Savanna,2.8666666666666667
1958,1,Sahel,0.0
1958,2,Coastal,51.46666666666667
1958,2,Guinea Savanna,0.5333333333333333
1958,2,Sahel,0.0
1958,3,Coastal,156.43333333333334
1958,3,Guinea Savanna,5.366666666666666
1958,3,Sahel,0.0
1958,4,Coastal,307.5333333333333
1958,4,Guinea Savanna,74.60000000000001
1958,4,Sahel,0.3666666666666667
1958,5,Coastal,274.76666666666665
1958,5,Guinea Savanna,96.33333333333333
1958,5,Sahel,10.133333333333331
1958,6,Coastal,265.8666666666667
1958,6,Guinea Savanna,157.70000000000002
1958,6,Sahel,57.86666666666667
1958,7,Coastal,89.06666666666668
1958,7,Guinea Savanna,107.5
1958,7,Sahel,151.6
1958,8,Coastal,71.39999999999999
1958,8,Guinea Savanna,186.79999999999998
1958,8,Sahel,254.0
1958,9,Coastal,235.5666666666667
1958,9,Guinea Savanna,240.26666666666665
1958,9,Sahel,155.83333333333334
1958,10,Coastal,312.5
1958,10,Guinea Savanna,77.8
1958,10,Sahel,1.3666666666666665
1958,11,Coastal,246.53333333333333
1958,11,Guinea Savanna,9.633333333333333
1958,11,Sahel,0.0
1958,12,Coastal,81.36666666666666
1958,12,Guinea Savanna,1.7666666666666666
1958,12,Sahel,0.0
1959,1,Coastal,79.3
1959,1,Guinea Savanna,2.8000000000000003
1959,1,Sahel,0.0
1959,2,Coastal,79.7
1959,2,Guinea Savanna,18.866666666666664
1959,2,Sahel,0.4666666666666666
1959,3,Coastal,118.5
1959,3,Guinea Savanna,12.399999999999999
1959,3,Sahel,0.0
1959,4,Coastal,180.36666666666667
1959,4,Guinea Savanna,28.8
1959,4,Sahel,0.06666666666666667
1959,5,Coastal,261.7
1959,5,Guinea Savanna,116.66666666666667
1959,5,Sahel,11.100000000000001
1959,6,Coastal,340.90000000000003
1959,6,Guinea Savanna,136.63333333333333
1959,6,Sahel,7.233333333333334
1959,7,Coastal,283.7
1959,7,Guinea Savanna,166.2
1959,7,Sahel,105.5
1959,8,Coastal,111.93333333333332
1959,8,Guinea Savanna,233.16666666666666
1959,8,Sahel,314.5
1959,9,Coastal,214.23333333333335
1959,9,Guinea Savanna,277.76666666666665
1959,9,Sahel,86.59999999999998
1959,10,Coastal,239.16666666666666
1959,10,Guinea Savanna,41.199999999999996
1959,10,Sahel,0.10000000000000002
1959,11,Coastal,165.96666666666667
1959,11,Guinea Savanna,6.333333333333333
1959,11,Sahel,0.0
1959,12,Coastal,49.56666666666666
1959,12,Guinea Savanna,0.13333333333333333
1959,12,Sahel,0.0
1960,1,Coastal,49.26666666666667
1960,1,Guinea Savanna,0.4666666666666666
1960,1,Sahel,0.0
1960,2,Coastal,60.26666666666667
1960,2,Guinea Savanna,0.3333333333333333
1960,2,Sahel,0.0
1960,3,Coastal,155.23333333333332
1960,3,Guinea Savanna,16.633333333333336
1960,3,Sahel,0.09999999999999999
1960,4,Coastal,247.83333333333334
1960,4,Guinea Savanna,85.39999999999999
1960,4,Sahel,1.0666666666666667
1960,5,Coastal,274.90000000000003
1960,5,Guinea Savanna,107.60000000000001
1960,5,Sahel,6.1000000000000005
1960,6,Coastal,319.06666666666666
1960,6,Guinea Savanna,209.63333333333335
1960,6,Sahel,35.733333333333334
1960,7,Coastal,225.33333333333334
1960,7,Guinea Savanna,218.13333333333333
1960,7,Sahel,162.43333333333334
1960,8,Coastal,218.36666666666667
1960,8,Guinea Savanna,211.53333333333333
1960,8,Sahel,139.06666666666666
1960,9,Coastal,321.59999999999997
1960,9,Guinea Savanna,272.59999999999997
1960,9,Sahel,81.63333333333334
1960,10,Coastal,320.7
1960,10,Guinea Savanna,130.9
1960,10,Sahel,4.766666666666667
1960,11,Coastal,160.96666666666667
1960,11,Guinea Savanna,10.133333333333333
1960,11,Sahel,0.03333333333333333
1960,12,Coastal,153.13333333333333
1960,12,Guinea Savanna,3.766666666666667
1960,12,Sahel,0.5666666666666667
1961,1,Coastal,73.46666666666667
1961,1,Guinea Savanna,6.366666666666667
1961,1,Sahel,0.0
1961,2,Coastal,34.266666666666666
1961,2,Guinea Savanna,0.03333333333333333
1961,2,Sahel,0.0
1961,3,Coastal,108.13333333333333
1961,3,Guinea Savanna,6.366666666666667
1961,3,Sahel,0.3
1961,4,Coastal,278.76666666666665
1961,4,Guinea Savanna,58.76666666666667
1961,4,Sahel,2.033333333333333
1961,5,Coastal,288.8333333333333
1961,5,Guinea Savanna,114.73333333333333
1961,5,Sahel,4.633333333333334
1961,6,Coastal,346.1333333333334
1961,6,Guinea Savanna,176.4333333333333
